id,.metric,.estimator,.estimate,.config
Resample01,rmse,standard,10.027436492782341,Preprocessor1_Model1
Resample01,rsq,standard,0.412831475428708,Preprocessor1_Model1
Resample02,rmse,standard,9.703183998062437,Preprocessor1_Model1
Resample02,rsq,standard,0.4261486169971934,Preprocessor1_Model1
Resample03,rmse,standard,10.210345298560343,Preprocessor1_Model1
Resample03,rsq,standard,0.38847475123782405,Preprocessor1_Model1
Resample04,rmse,standard,9.106800079550753,Preprocessor1_Model1
Resample04,rsq,standard,0.43186374068625605,Preprocessor1_Model1
Resample05,rmse,standard,8.820127162368928,Preprocessor1_Model1
Resample05,rsq,standard,0.3722667795710278,Preprocessor1_Model1
Resample06,rmse,standard,9.800599819291456,Preprocessor1_Model1
Resample06,rsq,standard,0.3311667276496375,Preprocessor1_Model1
Resample07,rmse,standard,9.376198486272722,Preprocessor1_Model1
Resample07,rsq,standard,0.4512145268189815,Preprocessor1_Model1
Resample08,rmse,standard,9.661857974746793,Preprocessor1_Model1
Resample08,rsq,standard,0.43640123985700535,Preprocessor1_Model1
Resample09,rmse,standard,10.002245393749776,Preprocessor1_Model1
Resample09,rsq,standard,0.4239945229042277,Preprocessor1_Model1
Resample10,rmse,standard,9.777673321613808,Preprocessor1_Model1
Resample10,rsq,standard,0.40199364362434553,Preprocessor1_Model1
